case_id	lane	source_path	target_file	target_profile	kernel_feature	verdict	axiom_footprint	negative_case	test_command	status	notes
NOTATION-001	Notation	/home/aimama/aihub/GPT-Pro_Responses/MeTTaKernel/notation_kernel.metta	Notation/01_invertible_mixfix.metta	OSLF	LanguageDef table-as-data printer: de Bruijn AST prints with fresh capture-free names	accept	none	none	bash run_all.sh	checked	Internal seed from Web-Claude/Codex brainstorming; external mixfix/BNFC/GF source-backed rows should extend this.
NOTATION-002	Notation	/home/aimama/aihub/GPT-Pro_Responses/MeTTaKernel/notation_kernel.metta	Notation/01_invertible_mixfix.metta	OSLF	round-trip faithfulness: prsT(prT(t)) = t for Lam/Sep/nested binders	accept	none	none	bash run_all.sh	checked	CeTTa gate checks parse-after-print on three representative ASTs.
NOTATION-003	Notation	/home/aimama/aihub/GPT-Pro_Responses/MeTTaKernel/notation_kernel.metta	Notation/01_invertible_mixfix.metta	OSLF	alpha quotient: different bound names parse to identical de Bruijn AST	accept	none	none	bash run_all.sh	checked	Binding adequacy seed: lambda p and lambda q forms parse to the same AST.
NOTATION-004	Notation	/home/aimama/aihub/GPT-Pro_Responses/MeTTaKernel/notation_kernel.metta	Notation/01_invertible_mixfix.metta	OSLF	free-vs-bound name resolution	accept	none	none	bash run_all.sh	checked	Outside a binder, x parses as Atom x rather than Var.
NOTATION-005	Notation	/home/aimama/aihub/GPT-Pro_Responses/MeTTaKernel/notation_kernel.metta	Notation/01_invertible_mixfix.metta	OSLF	notation admission: concrete syntax forms must be injective	accept	none	non-injective table with Mem/Sub sharing one concrete syntax form must reject	bash run_all.sh	checked	First negative for notation admission; this is not yet ambiguity/precedence completeness.
EQ-idj-core	Lean	/home/aimama/aihub/repos/itp-curriculum-sources/lean4_core/src/Init/Prelude.lean	/home/aimama/aihub/Mettapedia/MettaKernel/kernel/kernel_signature_lf_indexed_v0.metta	DTT	intensional Id/J + transport + cong	accept	none	no	cetta kernel_signature_lf_indexed_v0.metta	checked	our core: Id a DIndG, J its generated eliminator, plus-O-r via J, axiom-free (v6)
EQ-funext	Lean	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Lean/15_impredicative_axioms.lean; /home/aimama/aihub/repos/itp-curriculum-sources/lean4_core/src/Init/Classical.lean	Lean/15_impredicative_axioms.lean	DTT	function extensionality	requires-explicit-axiom	funext<=Quot.sound	no	bash run_all.sh	checked	reference: Lean derives funext from Quot.sound (#print axioms). Intensional core does NOT prove it
EQ-propext	Lean	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Lean/15_impredicative_axioms.lean	Lean/15_impredicative_axioms.lean	DTT	propositional extensionality	requires-explicit-axiom	propext	no	bash run_all.sh	checked	axiom/trusted in Lean; not in intensional core
EQ-choice	Lean	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Lean/15_impredicative_axioms.lean; /home/aimama/aihub/repos/itp-curriculum-sources/lean4_core/src/Init/Classical.lean	Lean/15_impredicative_axioms.lean	DTT	classical choice / EM	requires-explicit-axiom	Classical.choice+propext+Quot.sound	no	bash run_all.sh	checked	em' depends on choice; classical profile only, never core
EQ-quot-sound	Lean	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Lean/13_quotients.lean	Lean/13_quotients.lean	DTT	quotient soundness (Quot.sound)	requires-explicit-axiom	Quot.sound	no	bash run_all.sh	checked	quotient foundation = trusted axiom in Lean; our core has no quotients
EQ-quot-compute	Lean	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Lean/13_quotients.lean	Lean/13_quotients.lean	DTT	quot-lift/ind computation	accept	(only Quot.sound)	no	bash run_all.sh	checked	Quot.lift f h (Quot.mk a) ~> f a is a kernel rule; only quot-sound is the axiom
EQ-proof-irrel	Lean	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Lean/14_proof_irrelevance_eta.lean	Lean/14_proof_irrelevance_eta.lean	DTT	proof irrelevance	requires-explicit-axiom	Lean proof-irrelevance kernel rule / profile tag	no	bash run_all.sh	checked	Lean: any two Prop proofs defeq. Our intensional lambda-Pi is proof-RELEVANT; profile distinction
EQ-eta	Lean	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Lean/14_proof_irrelevance_eta.lean	kernel/kernel_signature_lf_indexed_v0.metta	DTT	function/structure eta	reject	none	no	cetta kernel_signature_lf_indexed_v0.metta	checked	VERIFIED our core is ETA-FREE: (lambda x. s x) NOT defeq s; pinned as kernel self-test. Lean has eta by defeq (profile distinction)
EQ-impred	Lean	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Lean/15_impredicative_axioms.lean	kernel/kernel_signature_lf_indexed_v0.metta	DTT	impredicative Prop (imax)	reject	none	no	cetta kernel_signature_lf_indexed_v0.metta	checked	VERIFIED PREDICATIVE: (Pi X:Type. X) : kind not Type; pinned as kernel self-test. Lean has impredicative Prop (profile distinction)
EQ-uip-k	Agda	/home/aimama/aihub/literature/Type_Theory/ITP_Curriculum_Expansion/Agda_without_K.html; /home/aimama/aihub/repos/itp-curriculum-sources/agda_cubical	(planned)	cubical	UIP / axiom K	requires-explicit-axiom	axiom K	no	(planned: no Agda gate)	planned	UIP unprovable in intensional MLTT without K; Agda --without-K rejects, --with-K accepts
EQ-cubical-funext	cubical	/home/aimama/aihub/repos/itp-curriculum-sources/agda_cubical/Cubical/Foundations/Univalence.agda	(planned)	cubical	funext/univalence (computational)	accept	(cubical primitives)	no	(planned: no Agda gate)	planned	cubical = EXTENSIONAL pole: funext+univalence computational; separate profile
EQ-bisim	HOL	/home/aimama/aihub/repos/itp-curriculum-sources/hol4/examples/CCS	(planned)	HOL	bisimilarity as a relation distinct from kernel equality	accept	none	no	(planned: no gate yet)	planned	behavioral equivalence is a defined relation NOT kernel equality; connects v6 conv-as-bisimulation-quotient bridge
PV-imp	ProgramVerification	/home/aimama/aihub/repos/itp-curriculum-sources/coq_software_foundations/plf-current/Imp.v	ProgramVerification/CoqPLF/PV01_imp.v	PV	Imp big-step opsem	accept	none	inline Fail negatives	bash run_all.sh	checked	migrated from ProgramVerification/coverage.tsv
PV-hoare	ProgramVerification	/home/aimama/aihub/repos/itp-curriculum-sources/coq_software_foundations/plf-current/Hoare.v	ProgramVerification/CoqPLF/PV02_hoare.v	PV	Hoare logic soundness	accept	none	inline Fail negative	bash run_all.sh	checked	migrated
PV-stlc	ProgramVerification	/home/aimama/aihub/repos/itp-curriculum-sources/coq_software_foundations/plf-current/Stlc.v	ProgramVerification/CoqPLF/PV04_stlc.v;ProgramVerification/CoqPLF/PV05_stlc_preservation.v	PV	STLC progress + preservation	accept	none	inline Fail negative	bash run_all.sh	checked	migrated; real STLC w/ capture-subst
IND-indexed-pos	Lean	/home/aimama/aihub/literature/Type_Theory/ITP_Curriculum_Expansion/Dybjer_Inductive_Families.pdf; /home/aimama/aihub/repos/itp-curriculum-sources/rocq_core/test-suite/success/Scheme.v	/home/aimama/aihub/Mettapedia/MettaKernel/kernel/kernel_signature_lf_indexed_v0.metta	DTT	generated indexed induction Nat/List/Vec/Fin/Id	accept	none	no	cetta kernel_signature_lf_indexed_v0.metta	checked	v6 generated eliminators + iota; J for Id
IND-neg	Lean	/home/aimama/aihub/repos/itp-curriculum-sources/rocq_core/test-suite/failure/inductive.v	/home/aimama/aihub/Mettapedia/MettaKernel/kernel/kernel_signature_lf_indexed_v0.metta	DTT	indexed-induction negatives	reject	none	bad-motive/wrong-index/non-strict-positivity/extra-case	cetta kernel_signature_lf_indexed_v0.metta	checked	v6 typed negatives; extend with Rocq Scheme/positivity source-backed (planned)
HOL-ext	HOL	/home/aimama/aihub/repos/itp-curriculum-sources/hol_light; /home/aimama/aihub/repos/itp-curriculum-sources/hol4	(planned)	HOL	classical + function extensionality (HOL profile)	accept	EXT+classical	no	(planned)	planned	HOL is an explicit extensional/classical profile, not a defect in DTT; record as separate profile
NOTATION-006	Notation	/home/aimama/aihub/GPT-Pro_Responses/MeTTaKernel/notation_kernel.metta	Notation/01_invertible_mixfix.metta	OSLF	binder shadowing + capture-free printing + free-variable preservation	accept	none	shadowing/capture bugs must not pass	bash run_all.sh	checked	Extends the seed with lexical shadowing, nested binder printing in both directions, and free-var preservation.
NOTATION-007	Notation	/home/aimama/aihub/repos/itp-curriculum-sources/lean4_core/tests/elab/mixfix.lean	Notation/02_precedence_assoc.metta	OSLF	precedence and associativity for infix notation	accept	none	wrong parse tree for plus/times/minus/pow	bash run_all.sh	checked	Source anchor has Lean mixfix precedences (`infix:65`, `infix:70`, `infixr:30`); our CeTTa seed checks analogous precedence, left-assoc, and right-assoc behavior.
NOTATION-008	Notation	/home/aimama/aihub/repos/itp-curriculum-sources/lean4_core/src/Lean/Elab/Mixfix.lean	Notation/02_precedence_assoc.metta	OSLF	operator-table admission: duplicate tokens and mixed associativity at one precedence reject	reject	none	duplicate token or mixed-assoc table	bash run_all.sh	checked	Conservative L0 admission negative; full ambiguity analysis is a later BNFC/GF-level row.
NOTATION-009	Notation	/home/aimama/aihub/repos/gf-core/src/compiler/GF/Grammar/BNFC.hs	Notation/02_precedence_assoc.metta	OSLF	one AST with two concrete syntax forms: infix tokens and s-expression tokens	accept	none	concrete syntax forms disagree on AST	bash run_all.sh	checked	First multilingual concrete syntax benchmark: both parsers return the same AST; source anchor is local GF BNFC machinery.
NOTATION-010	Notation	/home/aimama/aihub/repos/gf-core/src/compiler/GF/Grammar/BNFC.hs	(planned)	OSLF	BNFC/GF-grade parser-printer generation and conflict detection	accept	none	ambiguous grammar/table rejected	(planned)	planned	Next source-backed expansion: lift mixfix++ toward labelled BNF/GF while preserving table-as-data + round-trip laws.
NOTATION-011	Notation	Notation/mutation_check.sh	Notation/mutation_check.sh	OSLF	notation gate mutation hardening: broken oracle variants must fail	reject	none	non-injective table; mixed associativity; capture-unsafe printer; broken prsT-after-prT	bash run_all.sh	checked	Deliberately mutates temporary copies of 01/02 and requires CeTTa to catch each regression; proves the notation gate bites.
NOTATION-012	Notation	/home/aimama/aihub/Mettapedia/MettaKernel/kernel/kernel_signature_lf_v0.metta	Notation/03_lf_concrete_syntax_hook.metta	OSLF	LF LanguageDef concrete syntax: parse lambda/application/rfl notation to kernel AST and type-check	accept	none	no	bash run_all.sh	checked	Imports the real LF kernel seed; concrete syntax parses to Lam/App/rfl kernel terms that check under good-sig.
NOTATION-013	Notation	/home/aimama/aihub/Mettapedia/MettaKernel/kernel/kernel_signature_lf_v0.metta	Notation/03_lf_concrete_syntax_hook.metta	OSLF	LF LanguageDef negative: parse can succeed while kernel rejects the term	reject	none	applying z as a function; rfl against the wrong equality target	bash run_all.sh	checked	Confirms the parser is not trusted as proof: parsed ASTs still pass through kernel-check and bad targets return Err check-failed.
NOTATION-014	Notation	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Megalodon/04_extensionality_choice.mg; /home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Megalodon/07_separation_replacement.mg	Notation/04_megalodon_hotg_concrete_syntax.metta	HOTG	Megalodon/HOTG concrete declaration syntax parses to explicit profile AST with axiom footprint	accept	set_ext; Sep_Subq; ReplI	no	bash run_all.sh	checked	Source-shaped Axiom/Theorem concrete syntax forms for set_ext, Subq_refl, sep_is_subq, and repl_elem parse to HotgDecl records carrying the HOTG ledger footprint.
NOTATION-015	Notation	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Megalodon/04_extensionality_choice.mg; /home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Megalodon/07_separation_replacement.mg	Notation/04_megalodon_hotg_concrete_syntax.metta	HOTG	Megalodon/HOTG malformed concrete syntax rejection	reject	none	missing forall binder colon; mismatched set-builder binder; unknown theorem ledger entry	bash run_all.sh	checked	Confirms the HOTG concrete syntax recognizer rejects malformed binder syntax and refuses theorem declarations without a known profile ledger entry.
NOTATION-016	Notation	/home/aimama/aihub/repos/itp-curriculum-sources/hol_light/100/cantor.ml	(planned)	HOL	HOL Light concrete syntax comparison for notation design	accept	EXT+classical	no	(planned)	planned	HOL Light is source-backed comparison only until a real local parser/gate exists; do not claim checked HOL Light parsing here.
AX-prov-axiomfree	Lean	/home/aimama/aihub/repos/itp-curriculum-sources/lean4_core/src/Lean/Util/CollectAxioms.lean	/home/aimama/aihub/Mettapedia/MettaKernel/kernel/kernel_signature_lf_indexed_v0.metta	DTT	CheckedPrf provenance: axiom-free proof shows ANil	accept	ANil (none)	no	cetta kernel_signature_lf_indexed_v0.metta	checked	in-kernel mirror of Lean #print axioms: a generated-J proof mints CheckedPrf with empty axiom list (v6)
AX-prov-axiombearing	Lean	/home/aimama/aihub/repos/itp-curriculum-sources/lean4_core/src/Lean/Util/CollectAxioms.lean	/home/aimama/aihub/Mettapedia/MettaKernel/kernel/kernel_signature_lf_indexed_v0.metta	DTT	CheckedPrf provenance: axiom use appears in footprint	accept	ACons axN ANil	no	cetta kernel_signature_lf_indexed_v0.metta	checked	an axiom used inside an IndG case appears in the CheckedPrf provenance (ACons axN) — mirrors #print axioms / CollectAxioms (v6)
HOTG-ext-choice	Megalodon	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Megalodon/04_extensionality_choice.mg	Megalodon/04_extensionality_choice.mg	HOTG	set/function extensionality + epsilon-choice	accept	HOTG foundation: set-extensionality + epsilon (Hilbert choice)	no	bash run_all.sh	checked	3 theorems; extensional+classical HOTG profile, explicitly NOT our intensional core
HOTG-tg-universe	Megalodon	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Megalodon/05_tg_universe.mg	Megalodon/05_tg_universe.mg	HOTG	Tarski-Grothendieck universe	accept	TG universe axiom (UnivOf)	no	bash run_all.sh	checked	3 theorems; the large-cardinal/TG axiom making HOTG a strong set theory; profile axiom, ledgered
HOTG-sep-repl	Megalodon	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Megalodon/07_separation_replacement.mg	Megalodon/07_separation_replacement.mg	HOTG	separation + replacement	accept	separation + replacement schemas	no	bash run_all.sh	checked	7 theorems; ZF-style set-formation as an explicit HOTG profile with its axiom ledger
SR-iota-preservation	Kernel	kernel/kernel_signature_lf_indexed_v0.metta	kernel/kernel_signature_lf_indexed_v0.metta	DTT	subject-reduction admission gate: sig-admitted-with-elims requires generated eliminator typechecks, explicit constructor-head orthogonality, and generated-iota LHS/RHS type-preservation certificates; witnesses also check infer t = infer (nf t)	accept	none	bad iota target shape, corrupted generated RHS, and RHS type mismatch reject as sr-iota-mismatch	bash kernel/run_kernel_parity.sh; bash kernel/run_sr_admission_gate.sh	checked	Admission-level fail-closed gate for nat/list/vec/fin/J/pair plus pair: each constructor generates closed iota LHS/RHS certificates and runs sr-iota-rule-status before kernel-check can mint CheckedPrf. Not the universal SR/confluence theorem. SR1-SR5 mutation gate proves orthogonality, generated-RHS preservation, target-shape, and rule-status teeth bite.
SR-iota-admission-mutation	Kernel	kernel/run_sr_admission_gate.sh	kernel/kernel_signature_lf_indexed_v0.metta	DTT	generated-iota SR admission mutation gate: injected orthogonality, preservation, generated-RHS, bad-target, and rule-type breaks must turn the indexed suite red	reject	none	duplicate constructor accepted; good signature over-rejected; generated iota RHS corrupted; bad iota target accepted; RHS type mismatch accepted	bash kernel/run_sr_admission_gate.sh	checked	Temporary source mutations only: baseline 127 assertions; SR1-SR5 go red. SR3 corrupts the generated iota RHS in the admission path, proving the gate is load-bearing without claiming the universal metatheorem.
BIND-capture-avoidance	Binding	/home/aimama/aihub/literature/Binding_Substitution/Chargueraud_2012_The_Locally_Nameless_Representation.pdf	kernel/kernel_signature_lf_indexed_v0.metta	DTT	subst capture-avoidance: free var into a lambda body is shifted (stays free, never captured)	accept	none	yes	bash kernel/run_binding_mutation_gate.sh	checked	B2; negative rejects the captured value (Var 0). Mutation M1 (drop under-binder shift) caught
BIND-index-decrement	Binding	/home/aimama/aihub/literature/Binding_Substitution/Schafer_Tebbi_Smolka_2015_Autosubst.pdf	kernel/kernel_signature_lf_indexed_v0.metta	DTT	subst index decrement: substituted var replaced, strictly-higher free vars decrement	accept	none	no	bash kernel/run_binding_mutation_gate.sh	checked	B3. Mutation M2 (drop decrement) caught
BIND-shift-under-binder	Binding	/home/aimama/aihub/literature/Binding_Substitution/Schafer_Tebbi_Smolka_2015_Autosubst.pdf	kernel/kernel_signature_lf_indexed_v0.metta	DTT	shift fixes a bound var under its own binder, moves a free var	accept	none	yes	bash kernel/run_binding_mutation_gate.sh	checked	B1; negative rejects fixing the free var. Mutations M3 (no cutoff bump) + M4 (off-by-one cutoff) caught
BIND-alpha-conv	Binding	/home/aimama/aihub/literature/Binding_Substitution/Gabbay_Pitts_2002_New_Approach_to_Abstract_Syntax_with_Variable_Binding.pdf	kernel/kernel_signature_lf_indexed_v0.metta	DTT	alpha-equivalence as conv: de Bruijn identifies alpha-equivalents; bound != free preserved; beta under a binder hits the right occurrence	accept	none	yes	cetta kernel_signature_lf_indexed_v0.metta	checked	B4; negative: lambda x.x not conv lambda x.y
BIND-shadowing	Binding	/home/aimama/aihub/literature/Binding_Substitution/Aydemir_etal_2005_POPLmark_Challenge.pdf	kernel/kernel_signature_lf_indexed_v0.metta	DTT	shadowing: a substituted free var travels through nested binders, staying free	accept	none	no	bash kernel/run_binding_mutation_gate.sh	checked	B5
BIND-indg-binders	Binding	/home/aimama/aihub/literature/Binding_Substitution/Aydemir_etal_2005_POPLmark_Challenge.pdf	kernel/kernel_signature_lf_indexed_v0.metta	DTT	shift/subst traverse IndG params/motive/cases/indices/scrut correctly	accept	none	no	bash kernel/run_binding_mutation_gate.sh	checked	B6; load-bearing IndG tooth. After live waist routing, mutation M5 (shift-cases body not shifted) is caught by both full and pre-capture baseline guards.
BIND-mutation-gate	Binding	kernel/run_binding_mutation_gate.sh	kernel/kernel_signature_lf_indexed_v0.metta; kernel/kernel_signature_lf_v0.metta; kernel/kernel_signature_lf_natrec_v0.metta; kernel/curriculum_lf_demo.metta; kernel/break_probes.metta; kernel/exp2_dtt_wall.metta; kernel/exp3_hotg_both_ways.metta; kernel/evaluator_ground_recursion_invariant.metta; kernel/kernel_binding_waist_v1.metta; kernel/kernel_binding_abtg_replay_v1.metta	DTT	binding mutation gate: indexed, lower LF/NatRec clients, parity demos/probes, ABT replay, recursive BindingDecl traversal, and fail-closed declarations all go red under injected breaks	accept	none	yes	bash kernel/run_binding_mutation_gate.sh	checked	mutation-complete: M1-M5 indexed live-waist breaks, L1-L5 lower LF/NatRec client breaks, P1-P4 parity-demo client breaks including exp3, and G1-G16 replay/arity/recursive-BindingDecl/fail-closed breaks all caught; acceptance spec for the shared binding waist
