feature_symbol,coverage_status,runtime_groups,runtime_test_presence,lean_status,dependency_count,dependent_count,mapped_dependency_count,unmapped_dependency_count,priority_score,priority_band,recommended_action,dependencies,unmapped_dependencies,dependents
foldl-atom,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,4,4,4,0,62,P0,implement_now,chain;context-space;eval;function,,add-atoms;add-reducts;collapse;type-cast
switch-minimal,extension_mapped_in_lean,stdlib_decl;stdlib_eq,yes,present,9,3,8,1,56,P1,implement_with_prereq,Empty;NotReducible;chain;decons-atom;eval;function;if-equal;return;switch-internal,if-equal,case;switch;switch-internal
map-atom,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,9,1,8,1,56,P1,implement_with_prereq,atom-subst;chain;cons-atom;decons-atom;eval;function;return;sealed;unify,atom-subst,type-cast
let,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,yes,present,2,17,2,0,54,P1,implement_now,Empty;unify,,assertIncludes;for-each-in-atom;get-doc;get-doc-atom;get-doc-function;get-doc-params;get-doc-single-atom;help-param!;help-space!;intersection;is-function;let*;new-state;subtraction;undefined-doc-function-type;union;unique
case,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,yes,present,13,2,13,0,54,P1,implement_now,%Undefined%;==;Empty;chain;collapse-bind;context-space;eval;function;metta;return;superpose-bind;switch-minimal;unify,,get-doc;help-internal!
collapse,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,no,present,10,15,8,2,52,P1,implement_with_prereq,%Undefined%;_collapse-add-next-atom-from-collapse-bind-result;chain;collapse-bind;context-space;eval;foldl-atom;function;metta;return,_collapse-add-next-atom-from-collapse-bind-result;foldl-atom,assertAlphaEqual;assertAlphaEqualMsg;assertAlphaEqualToResult;assertAlphaEqualToResultMsg;assertEqual;assertEqualMsg;assertEqualToResult;assertEqualToResultMsg;assertIncludes;help-space!;intersection;new-state;subtraction;union;unique
if,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,yes,present,0,8,0,0,50,P1,implement_now,,,assertIncludes;filter-atom;for-each-in-atom;get-doc-function;get-doc-params;get-doc-single-atom;type-cast;undefined-doc-function-type
assertEqual,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,5,0,5,0,48,P1,implement_now,%Undefined%;chain;collapse;context-space;metta,,
assertEqualMsg,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,5,0,5,0,48,P1,implement_now,%Undefined%;chain;collapse;context-space;metta,,
assertEqualToResult,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,5,0,5,0,48,P1,implement_now,%Undefined%;chain;collapse;context-space;metta,,
assertEqualToResultMsg,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,5,0,5,0,48,P1,implement_now,%Undefined%;chain;collapse;context-space;metta,,
if-decons-expr,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,7,0,6,1,48,P1,implement_with_prereq,chain;decons-atom;eval;function;if-equal;return;unify,if-equal,
Error,extension_mapped_in_lean,engine_const;stdlib_decl;stdlib_doc,yes,present,0,9,0,0,46,P1,implement_now,,,assert;assertIncludes;car-atom;cdr-atom;first-from-pair;help-internal!;if-error;let*;type-cast
assert,extension_mapped_in_lean,stdlib_decl;stdlib_eq,yes,present,7,0,7,0,44,P1,implement_now,%Undefined%;Error;chain;context-space;metta;not;unify,,
cdr-atom,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,4,4,4,0,42,P1,implement_now,Error;chain;decons-atom;unify,,for-each-in-atom;get-doc-function;get-doc-params;undefined-doc-function-type
Empty,extension_mapped_in_lean,engine_const,yes,present,0,9,0,0,38,P2,implement_now,,,case;empty;get-doc-atom;get-doc-function;help-internal!;help-space!;let;return-on-error;switch-minimal
assertAlphaEqualMsg,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,5,0,5,0,38,P2,implement_now,%Undefined%;chain;collapse;context-space;metta,,
assertAlphaEqualToResultMsg,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,5,0,5,0,38,P2,implement_now,%Undefined%;chain;collapse;context-space;metta,,
assertIncludes,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,7,0,6,1,38,P2,implement_with_prereq,==;Error;collapse;if;let;not;subtraction-atom,subtraction-atom,
switch-internal,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,no,present,6,1,6,0,36,P2,implement_now,chain;eval;function;return;switch-minimal;unify,,switch-minimal
car-atom,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,4,2,4,0,34,P2,implement_now,Error;chain;decons-atom;unify,,for-each-in-atom;get-doc-params
if-error,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,10,1,8,2,34,P2,implement_with_prereq,Error;Expression;chain;decons-atom;eval;function;get-metatype;if-equal;return;unify,get-metatype;if-equal,return-on-error
filter-atom,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,10,0,9,1,34,P2,implement_with_prereq,atom-subst;chain;cons-atom;decons-atom;eval;function;if;return;sealed;unify,atom-subst,
new-state,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,5,0,4,1,34,P2,implement_with_prereq,chain;collapse;context-space;get-type-space;let,get-type-space,
switch,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,yes,present,2,0,2,0,34,P2,implement_now,id;switch-minimal,,
atom-subst,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,5,2,4,1,32,P2,implement_with_prereq,chain;eval;function;noeval;return,noeval,filter-atom;map-atom
noeval,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,0,1,0,0,32,P2,implement_now,,,atom-subst
undefined-doc-function-type,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,6,1,5,1,30,P2,implement_with_prereq,%Undefined%;==;cdr-atom;cons-atom;if;let,cdr-atom,get-doc-function
add-reduct,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,1,0,1,0,30,P2,implement_now,add-atom,,
is-function,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,7,1,5,2,28,P2,implement_with_prereq,->;Expression;decons-atom;get-metatype;let;size-atom;unify,get-metatype;size-atom,get-doc-single-atom
add-atoms,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,2,0,1,1,28,P2,implement_with_prereq,add-atom;foldl-atom,foldl-atom,
add-reducts,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,2,0,1,1,28,P2,implement_with_prereq,add-atom;foldl-atom,foldl-atom,
assertAlphaEqual,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,5,0,5,0,28,P2,implement_now,%Undefined%;chain;collapse;context-space;metta,,
assertAlphaEqualToResult,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,5,0,5,0,28,P2,implement_now,%Undefined%;chain;collapse;context-space;metta,,
unquote,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,0,0,0,0,28,P2,implement_now,,,
noreduce-eq,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,2,1,2,0,26,P2,implement_now,==;quote,,for-each-in-atom
quote,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,yes,present,1,1,1,0,26,P2,implement_now,NotReducible,,noreduce-eq
@type,extension_runtime_only,stdlib_decl;stdlib_doc,no,absent,0,4,0,0,24,P3,implement_now,,,get-doc-atom;get-doc-function;get-doc-params;help-param!
id,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,yes,present,0,1,0,0,24,P3,implement_now,,,switch
match-types,extension_runtime_only,stdlib_doc;stdlib_eq,no,absent,7,1,6,1,24,P3,implement_with_prereq,%Undefined%;Atom;eval;function;if-equal;return;unify,if-equal,match-type-or
get-doc-function,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,16,2,7,9,22,P3,defer_needs_stack,%Undefined%;==;@doc;@doc-formal;@item;@kind;@params;@type;Empty;cdr-atom;function;get-doc-params;if;let;undefined-doc-function-type;unify,@doc;@doc-formal;@item;@kind;@params;@type;cdr-atom;get-doc-params;undefined-doc-function-type,get-doc-atom;get-doc-single-atom
first-from-pair,extension_runtime_only,stdlib_doc;stdlib_eq,no,absent,4,1,4,0,22,P3,implement_now,Error;function;return;unify,,type-cast
help-space!,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,8,1,4,4,22,P3,defer_needs_stack,@desc;@doc;Empty;collapse;format-args;let;println!;unify,@desc;@doc;format-args;println!,help-internal!
match-type-or,extension_runtime_only,stdlib_doc;stdlib_eq,no,absent,6,1,5,1,22,P3,implement_with_prereq,chain;eval;function;match-types;or;return,match-types,type-cast
return-on-error,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,6,0,4,2,22,P3,implement_with_prereq,Empty;eval;function;if-equal;if-error;return,if-equal;if-error,
@desc,extension_runtime_only,stdlib_decl;stdlib_doc,no,absent,0,3,0,0,20,P3,implement_now,,,get-doc-params;help-param!;help-space!
@doc,extension_runtime_only,stdlib_decl;stdlib_doc,no,absent,0,3,0,0,20,P3,implement_now,,,get-doc-atom;get-doc-function;help-space!
let*,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,no,present,5,0,5,0,20,P3,implement_now,Error;chain;decons-atom;let;unify,,
get-doc-atom,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,12,2,4,8,18,P3,defer_needs_stack,%Undefined%;@doc;@doc-formal;@item;@kind;@params;@type;Empty;get-doc-function;get-type-space;let;unify,@doc;@doc-formal;@item;@kind;@params;@type;get-doc-function;get-type-space,get-doc;get-doc-single-atom
get-doc-params,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,10,1,4,6,18,P3,defer_needs_stack,==;@desc;@param;@return;@type;car-atom;cdr-atom;cons-atom;if;let,@desc;@param;@return;@type;car-atom;cdr-atom,get-doc-function
get-doc-single-atom,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,6,1,2,4,18,P3,defer_needs_stack,get-doc-atom;get-doc-function;get-type-space;if;is-function;let,get-doc-atom;get-doc-function;get-type-space;is-function,get-doc
get-doc,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,6,0,3,3,18,P3,defer_needs_stack,Expression;case;get-doc-atom;get-doc-single-atom;get-metatype;let,get-doc-atom;get-doc-single-atom;get-metatype,
help!,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,0,0,0,0,18,P3,implement_now,,,
help-internal!,extension_runtime_only,stdlib_decl;stdlib_eq,no,absent,6,0,3,3,18,P3,defer_needs_stack,Empty;Error;case;help-space!;mod-space!;module-space-no-deps,help-space!;mod-space!;module-space-no-deps,
@doc-formal,extension_runtime_only,stdlib_decl;stdlib_doc,no,absent,0,2,0,0,16,P3,implement_now,,,get-doc-atom;get-doc-function
@item,extension_runtime_only,stdlib_decl;stdlib_doc,no,absent,0,2,0,0,16,P3,implement_now,,,get-doc-atom;get-doc-function
@kind,extension_runtime_only,stdlib_decl;stdlib_doc,no,absent,0,2,0,0,16,P3,implement_now,,,get-doc-atom;get-doc-function
@param,extension_runtime_only,stdlib_decl;stdlib_doc,no,absent,0,2,0,0,16,P3,implement_now,,,get-doc-params;help-param!
@params,extension_runtime_only,stdlib_decl;stdlib_doc,no,absent,0,2,0,0,16,P3,implement_now,,,get-doc-atom;get-doc-function
for-each-in-atom,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,5,0,2,3,16,P3,defer_needs_stack,car-atom;cdr-atom;if;let;noreduce-eq,car-atom;cdr-atom;noreduce-eq,
intersection,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,no,present,4,0,3,1,14,P3,implement_with_prereq,collapse;intersection-atom;let;superpose,intersection-atom,
subtraction,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,no,present,4,0,3,1,14,P3,implement_with_prereq,collapse;let;subtraction-atom;superpose,subtraction-atom,
union,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,no,present,4,0,3,1,14,P3,implement_with_prereq,collapse;let;superpose;union-atom,union-atom,
unique,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,no,present,4,0,3,1,14,P3,implement_with_prereq,collapse;let;superpose;unique-atom,unique-atom,
@return,extension_runtime_only,stdlib_decl;stdlib_doc,no,absent,0,1,0,0,12,P3,implement_now,,,get-doc-params
BadType,extension_mapped_in_lean,engine_const;stdlib_decl;stdlib_doc,no,present,0,1,0,0,10,P3,implement_now,,,type-cast
das-helpers!,extension_runtime_only,builtin_mods_doc,yes,absent,0,0,0,0,10,P3,implement_now,,,
das-service-status!,extension_runtime_only,builtin_mods_doc,yes,absent,0,0,0,0,10,P3,implement_now,,,
help-param!,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,6,0,1,5,10,P3,defer_needs_stack,@desc;@param;@type;format-args;let;println!,@desc;@param;@type;format-args;println!,
new-das!,extension_runtime_only,builtin_mods_doc,yes,absent,0,0,0,0,10,P3,implement_now,,,
nop,extension_runtime_only,stdlib_doc;stdlib_eq,no,absent,0,0,0,0,10,P3,implement_now,,,
ErrorType,extension_runtime_only,stdlib_decl;stdlib_doc,no,absent,0,0,0,0,8,P3,implement_now,,,
SpaceType,extension_runtime_only,stdlib_decl;stdlib_doc,no,absent,0,0,0,0,8,P3,implement_now,,,
==,extension_mapped_in_lean,stdlib_doc,yes,present,0,6,0,0,6,P3,implement_now,,,assertIncludes;case;get-doc-function;get-doc-params;noreduce-eq;undefined-doc-function-type
NotReducible,extension_mapped_in_lean,engine_const,no,present,0,2,0,0,6,P3,implement_now,,,quote;switch-minimal
:<,extension_runtime_only,engine_const,no,absent,0,0,0,0,6,P3,implement_now,,,
BadArgType,extension_mapped_in_lean,engine_const;stdlib_decl;stdlib_doc,no,present,0,0,0,0,6,P3,implement_now,,,
PairType,extension_runtime_only,builtin_mods_decl,no,absent,0,0,0,0,6,P3,implement_now,,,
dict-space,extension_runtime_only,builtin_mods_decl;builtin_mods_doc;builtin_mods_eq,no,absent,0,0,0,0,6,P3,implement_now,,,
get-keys,extension_runtime_only,builtin_mods_decl;builtin_mods_doc;builtin_mods_eq,no,absent,0,0,0,0,6,P3,implement_now,,,
get-value,extension_runtime_only,builtin_mods_decl;builtin_mods_doc;builtin_mods_eq,no,absent,0,0,0,0,6,P3,implement_now,,,
skel-swap-pair,extension_runtime_only,builtin_mods_decl;builtin_mods_doc;builtin_mods_eq,no,absent,0,0,0,0,6,P3,implement_now,,,
if-equal,extension_runtime_only,stdlib_doc,no,absent,0,6,0,0,4,P3,implement_now,,,if-decons-expr;if-error;match-types;return-on-error;switch-minimal;type-cast
empty,extension_mapped_in_lean,stdlib_doc;stdlib_eq,no,present,1,0,1,0,4,P3,implement_now,Empty,,
type-cast,extension_mapped_in_lean,stdlib_doc;stdlib_eq,no,present,15,0,8,7,4,P3,defer_needs_stack,BadType;Error;chain;collapse-bind;eval;first-from-pair;foldl-atom;function;get-metatype;get-type;if;if-equal;map-atom;match-type-or;return,first-from-pair;foldl-atom;get-metatype;get-type;if-equal;map-atom;match-type-or,
catalog-clear!,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
catalog-list!,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
catalog-update!,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
das-create-context!,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
das-evolution!,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
das-get-params!,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
das-join-network!,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
das-link-creation!,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
das-services!,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
das-set-param!,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
file-get-size!,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
file-open!,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
file-read-exact!,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
file-read-to-string!,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
file-seek!,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
file-write!,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
flip,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
json-decode,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
json-encode,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
new-random-generator,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
random-float,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
random-int,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
reset-random-generator,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
set-random-seed,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
skel-swap-pair-native,extension_runtime_only,builtin_mods_doc,no,absent,0,0,0,0,0,P3,implement_now,,,
superpose,extension_mapped_in_lean,stdlib_doc,yes,present,0,4,0,0,-2,P3,implement_now,,,intersection;subtraction;union;unique
Pair,extension_mapped_in_lean,builtin_mods_decl,no,present,0,0,0,0,-2,P3,implement_now,,,
get-metatype,extension_runtime_only,stdlib_doc,no,absent,0,4,0,0,-4,P3,implement_now,,,get-doc;if-error;is-function;type-cast
get-type-space,extension_runtime_only,stdlib_doc,no,absent,0,3,0,0,-8,P3,implement_now,,,get-doc-atom;get-doc-single-atom;new-state
bind!,extension_runtime_only,stdlib_doc,yes,absent,0,0,0,0,-10,P3,implement_now,,,
import!,extension_runtime_only,stdlib_doc,yes,absent,0,0,0,0,-10,P3,implement_now,,,
sort-strings,extension_runtime_only,stdlib_doc,yes,absent,0,0,0,0,-10,P3,implement_now,,,
format-args,extension_runtime_only,stdlib_doc,no,absent,0,2,0,0,-12,P3,implement_now,,,help-param!;help-space!
println!,extension_runtime_only,stdlib_doc,no,absent,0,2,0,0,-12,P3,implement_now,,,help-param!;help-space!
subtraction-atom,extension_runtime_only,stdlib_doc,no,absent,0,2,0,0,-12,P3,implement_now,,,assertIncludes;subtraction
or,extension_mapped_in_lean,stdlib_doc,yes,present,0,1,0,0,-14,P3,implement_now,,,match-type-or
add-atom,extension_mapped_in_lean,stdlib_doc,no,present,0,3,0,0,-16,P3,implement_now,,,add-atoms;add-reduct;add-reducts
_collapse-add-next-atom-from-collapse-bind-result,extension_runtime_only,stdlib_doc,no,absent,0,1,0,0,-16,P3,implement_now,,,collapse
get-type,extension_runtime_only,stdlib_doc,no,absent,0,1,0,0,-16,P3,implement_now,,,type-cast
intersection-atom,extension_runtime_only,stdlib_doc,no,absent,0,1,0,0,-16,P3,implement_now,,,intersection
mod-space!,extension_runtime_only,stdlib_doc,no,absent,0,1,0,0,-16,P3,implement_now,,,help-internal!
module-space-no-deps,extension_runtime_only,stdlib_doc,no,absent,0,1,0,0,-16,P3,implement_now,,,help-internal!
size-atom,extension_runtime_only,stdlib_doc,no,absent,0,1,0,0,-16,P3,implement_now,,,is-function
union-atom,extension_runtime_only,stdlib_doc,no,absent,0,1,0,0,-16,P3,implement_now,,,union
unique-atom,extension_runtime_only,stdlib_doc,no,absent,0,1,0,0,-16,P3,implement_now,,,unique
+,extension_mapped_in_lean,stdlib_doc,yes,present,0,0,0,0,-18,P3,implement_now,,,
and,extension_mapped_in_lean,stdlib_doc,yes,present,0,0,0,0,-18,P3,implement_now,,,
match,extension_mapped_in_lean,stdlib_doc,yes,present,0,0,0,0,-18,P3,implement_now,,,
not,extension_mapped_in_lean,stdlib_doc,no,present,0,2,0,0,-20,P3,implement_now,,,assert;assertIncludes
sealed,extension_mapped_in_lean,stdlib_doc,no,present,0,2,0,0,-20,P3,implement_now,,,filter-atom;map-atom
=alpha,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
abs-math,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
acos-math,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
asin-math,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
atan-math,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
ceil-math,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
change-state!,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
cos-math,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
floor-math,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
get-state,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
git-module!,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
index-atom,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
isinf-math,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
isnan-math,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
log-math,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
max-atom,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
min-atom,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
new-space,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
pow-math,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
pragma!,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
print-mods!,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
register-module!,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
round-math,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
sin-math,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
sqrt-math,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
tan-math,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
trace!,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
trunc-math,extension_runtime_only,stdlib_doc,no,absent,0,0,0,0,-20,P3,implement_now,,,
%,extension_mapped_in_lean,stdlib_doc,no,present,0,0,0,0,-28,P3,implement_now,,,
*,extension_mapped_in_lean,stdlib_doc,no,present,0,0,0,0,-28,P3,implement_now,,,
-,extension_mapped_in_lean,stdlib_doc,no,present,0,0,0,0,-28,P3,implement_now,,,
/,extension_mapped_in_lean,stdlib_doc,no,present,0,0,0,0,-28,P3,implement_now,,,
<,extension_mapped_in_lean,stdlib_doc,no,present,0,0,0,0,-28,P3,implement_now,,,
<=,extension_mapped_in_lean,stdlib_doc,no,present,0,0,0,0,-28,P3,implement_now,,,
>,extension_mapped_in_lean,stdlib_doc,no,present,0,0,0,0,-28,P3,implement_now,,,
>=,extension_mapped_in_lean,stdlib_doc,no,present,0,0,0,0,-28,P3,implement_now,,,
capture,extension_mapped_in_lean,stdlib_doc,no,present,0,0,0,0,-28,P3,implement_now,,,
get-atoms,extension_mapped_in_lean,stdlib_doc,no,present,0,0,0,0,-28,P3,implement_now,,,
include,extension_mapped_in_lean,stdlib_doc,no,present,0,0,0,0,-28,P3,implement_now,,,
remove-atom,extension_mapped_in_lean,stdlib_doc,no,present,0,0,0,0,-28,P3,implement_now,,,
xor,extension_mapped_in_lean,stdlib_doc,no,present,0,0,0,0,-28,P3,implement_now,,,
