profile_id,layer,feature_id,feature_symbol,source_kind,source_section,in_core_spec,in_profile,runtime_presence,lean_formalization_status,decl_anchor,evidence_quality,lean_evidence,runtime_evidence,artifact_contract_kind,artifact_contract_status,artifact_contract_evidence,proof_status,test_status,notes
HE-0.2.10,core,core.algorithm_name.add_var_binding,add_var_binding,algorithm_name,Add variable binding to binding set (add_var_binding),yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:122:def addVarBinding,decl-explicit,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:122:def addVarBinding,,internal_helper,not_in_export_scope,Internal helper semantics; no direct transition source label.,unknown,unknown,Explicit declaration anchor map.
HE-0.2.10,core,core.algorithm_name.add_var_equality,add_var_equality,algorithm_name,Add variable equality to binding set (add_var_equality),yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:147:def addVarEquality,decl-explicit,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:147:def addVarEquality,,internal_helper,not_in_export_scope,Internal helper semantics; no direct transition source label.,unknown,unknown,Explicit declaration anchor map.
HE-0.2.10,core,core.algorithm_name.check_argument_type,check_argument_type,algorithm_name,Check argument type (check_argument_type),yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TypeCheck.lean:31:def checkArgumentType,decl-explicit,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TypeCheck.lean:31:def checkArgumentType,,unspecified,not_in_export_scope,No contract mapping rule.,unknown,unknown,Explicit declaration anchor map.
HE-0.2.10,core,core.algorithm_name.check_if_function_type_is_applicable,check_if_function_type_is_applicable,algorithm_name,Check if function type is applicable (check_if_function_type_is_applicable),yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TypeCheck.lean:55:def checkIfFunctionTypeIsApplicable,decl-explicit,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TypeCheck.lean:55:def checkIfFunctionTypeIsApplicable,,unspecified,not_in_export_scope,No contract mapping rule.,unknown,unknown,Explicit declaration anchor map.
HE-0.2.10,core,core.algorithm_name.interpret_args,interpret_args,algorithm_name,Interpret arguments (interpret_args),yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:169:def interpretArgs,decl-explicit,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:169:def interpretArgs,,transition_source,verified,/home/zar/claude/lean-projects/mettapedia/artifacts/transition/he.transition_spec.json:sources.source_label=InterpArgs,unknown,unknown,Explicit declaration anchor map.
HE-0.2.10,core,core.algorithm_name.interpret_expression,interpret_expression,algorithm_name,Interpret expression (interpret_expression),yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:83:def interpretExpression,decl-explicit,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:83:def interpretExpression,,transition_source,verified,/home/zar/claude/lean-projects/mettapedia/artifacts/transition/he.transition_spec.json:sources.source_label=InterpExpr,unknown,unknown,Explicit declaration anchor map.
HE-0.2.10,core,core.algorithm_name.interpret_function,interpret_function,algorithm_name,Interpret function (interpret_function),yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:134:def interpretFunction,decl-explicit,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:134:def interpretFunction,,transition_source,verified,/home/zar/claude/lean-projects/mettapedia/artifacts/transition/he.transition_spec.json:sources.source_label=InterpFunc,unknown,unknown,Explicit declaration anchor map.
HE-0.2.10,core,core.algorithm_name.interpret_tuple,interpret_tuple,algorithm_name,Interpret tuple (interpret_tuple),yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:222:def interpretTuple,decl-explicit,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:222:def interpretTuple,,transition_source,verified,/home/zar/claude/lean-projects/mettapedia/artifacts/transition/he.transition_spec.json:sources.source_label=InterpTuple,unknown,unknown,Explicit declaration anchor map.
HE-0.2.10,core,core.algorithm_name.match_atoms,match_atoms,algorithm_name,Match atoms (match_atoms),yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:39:def matchAtoms,decl-explicit,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:39:def matchAtoms,,internal_helper,not_in_export_scope,Internal helper semantics; no direct transition source label.,unknown,unknown,Explicit declaration anchor map.
HE-0.2.10,core,core.algorithm_name.match_types,match_types,algorithm_name,Match types (match_types),yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:182:def matchTypes,decl-explicit,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:182:def matchTypes,,internal_helper,not_in_export_scope,Internal helper semantics; no direct transition source label.,unknown,unknown,Explicit declaration anchor map.
HE-0.2.10,core,core.algorithm_name.merge_bindings,merge_bindings,algorithm_name,Merge bindings (merge_bindings),yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:103:def mergeBindings,decl-explicit,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:103:def mergeBindings,,internal_helper,not_in_export_scope,Internal helper semantics; no direct transition source label.,unknown,unknown,Explicit declaration anchor map.
HE-0.2.10,core,core.algorithm_name.metta,metta,algorithm_name,Evaluate atom (metta),yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:46:def metta,decl-explicit,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:46:def metta,,transition_source,verified,/home/zar/claude/lean-projects/mettapedia/artifacts/transition/he.transition_spec.json:sources.source_label=Metta,unknown,unknown,Explicit declaration anchor map.
HE-0.2.10,core,core.algorithm_name.metta_call,metta_call,algorithm_name,Call MeTTa expression (metta_call),yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:256:def mettaCall,decl-explicit,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:256:def mettaCall,,transition_source,verified,/home/zar/claude/lean-projects/mettapedia/artifacts/transition/he.transition_spec.json:sources.source_label=MettaCall,unknown,unknown,Explicit declaration anchor map.
HE-0.2.10,core,core.algorithm_name.type_cast,type_cast,algorithm_name,Cast types (type_cast),yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TypeCheck.lean:126:def typeCast,decl-explicit,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TypeCheck.lean:126:def typeCast,,transition_source,verified,/home/zar/claude/lean-projects/mettapedia/artifacts/transition/he.transition_spec.json:sources.source_label=TypeCast,unknown,unknown,Explicit declaration anchor map.
HE-0.2.10,core,core.elementary_type.%undefined%,%Undefined%,elementary_type,Elementary types,yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/HELanguageDef.lean:88:def mettaHE,decl-inferred,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/HELanguageDef.lean:88:def mettaHE,,metatype_symbol,not_in_export_scope,Type symbols used by semantics; not exporter control fields.,unknown,unknown,Declaration-anchored Lean match found.
HE-0.2.10,core,core.elementary_type.atom,Atom,elementary_type,Elementary types,yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/HEPremises.lean:406:def mettaHEPremises,decl-inferred,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/HEPremises.lean:406:def mettaHEPremises,,metatype_symbol,not_in_export_scope,Type symbols used by semantics; not exporter control fields.,unknown,unknown,Declaration-anchored Lean match found.
HE-0.2.10,core,core.elementary_type.expression,Expression,elementary_type,Elementary types,yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Atom.lean:188:def expressionType,decl-inferred,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Atom.lean:188:def expressionType,,metatype_symbol,not_in_export_scope,Type symbols used by semantics; not exporter control fields.,unknown,unknown,Declaration-anchored Lean match found.
HE-0.2.10,core,core.elementary_type.grounded,Grounded,elementary_type,Elementary types,yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Atom.lean:191:def groundedType,decl-inferred,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Atom.lean:191:def groundedType,,metatype_symbol,not_in_export_scope,Type symbols used by semantics; not exporter control fields.,unknown,unknown,Declaration-anchored Lean match found.
HE-0.2.10,core,core.elementary_type.symbol,Symbol,elementary_type,Elementary types,yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:39:def matchAtoms,decl-inferred,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:39:def matchAtoms,,metatype_symbol,not_in_export_scope,Type symbols used by semantics; not exporter control fields.,unknown,unknown,Declaration-anchored Lean match found.
HE-0.2.10,core,core.elementary_type.type,Type,elementary_type,Elementary types,yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TransitionSpec.lean:87:def guardFamilyFor,decl-inferred,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TransitionSpec.lean:87:def guardFamilyFor,,metatype_symbol,not_in_export_scope,Type symbols used by semantics; not exporter control fields.,unknown,unknown,Declaration-anchored Lean match found.
HE-0.2.10,core,core.elementary_type.variable,Variable,elementary_type,Elementary types,yes,yes,core-specified,implemented-decl-anchored,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:39:def matchAtoms,decl-inferred,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Matching.lean:39:def matchAtoms,,metatype_symbol,not_in_export_scope,Type symbols used by semantics; not exporter control fields.,unknown,unknown,Declaration-anchored Lean match found.
HE-0.2.10,core,core.grammar_nonterminal.atom,ATOM,grammar_nonterminal,S-expression grammar,yes,yes,core-specified,implemented-mapped,/home/zar/claude/lean-projects/batteries/mettail-core/MeTTailCore/MeTTaSyntax/Spec.lean:54:structure SyntaxSpec,decl-mapped,/home/zar/claude/lean-projects/batteries/mettail-core/MeTTailCore/MeTTaSyntax/Spec.lean:54:structure SyntaxSpec,,syntax_grammar,verified,"/home/zar/claude/lean-projects/algorithms/artifacts/syntax/he.grammar_spec.json:dialect=he,tokens=7,productions=10",unknown,unknown,"Grammar represented by generic SyntaxSpec/GrammarSpec (mettail-core), not uppercase token names."
HE-0.2.10,core,core.grammar_nonterminal.char,CHAR,grammar_nonterminal,S-expression grammar,yes,yes,core-specified,implemented-mapped,/home/zar/claude/lean-projects/batteries/mettail-core/MeTTailCore/MeTTaSyntax/Spec.lean:54:structure SyntaxSpec,decl-mapped,/home/zar/claude/lean-projects/batteries/mettail-core/MeTTailCore/MeTTaSyntax/Spec.lean:54:structure SyntaxSpec,,syntax_grammar,verified,"/home/zar/claude/lean-projects/algorithms/artifacts/syntax/he.grammar_spec.json:dialect=he,tokens=7,productions=10",unknown,unknown,"Grammar represented by generic SyntaxSpec/GrammarSpec (mettail-core), not uppercase token names."
HE-0.2.10,core,core.grammar_nonterminal.comment,COMMENT,grammar_nonterminal,S-expression grammar,yes,yes,core-specified,implemented-mapped,/home/zar/claude/lean-projects/batteries/mettail-core/MeTTailCore/MeTTaSyntax/Spec.lean:54:structure SyntaxSpec,decl-mapped,/home/zar/claude/lean-projects/batteries/mettail-core/MeTTailCore/MeTTaSyntax/Spec.lean:54:structure SyntaxSpec,,syntax_grammar,verified,"/home/zar/claude/lean-projects/algorithms/artifacts/syntax/he.grammar_spec.json:dialect=he,tokens=7,productions=10",unknown,unknown,"Grammar represented by generic SyntaxSpec/GrammarSpec (mettail-core), not uppercase token names."
HE-0.2.10,core,core.grammar_nonterminal.delim,DELIM,grammar_nonterminal,S-expression grammar,yes,yes,core-specified,implemented-mapped,/home/zar/claude/lean-projects/batteries/mettail-core/MeTTailCore/MeTTaSyntax/Spec.lean:54:structure SyntaxSpec,decl-mapped,/home/zar/claude/lean-projects/batteries/mettail-core/MeTTailCore/MeTTaSyntax/Spec.lean:54:structure SyntaxSpec,,syntax_grammar,verified,"/home/zar/claude/lean-projects/algorithms/artifacts/syntax/he.grammar_spec.json:dialect=he,tokens=7,productions=10",unknown,unknown,"Grammar represented by generic SyntaxSpec/GrammarSpec (mettail-core), not uppercase token names."
HE-0.2.10,core,core.grammar_nonterminal.eol,EOL,grammar_nonterminal,S-expression grammar,yes,yes,core-specified,implemented-mapped,/home/zar/claude/lean-projects/batteries/mettail-core/MeTTailCore/MeTTaSyntax/Spec.lean:54:structure SyntaxSpec,decl-mapped,/home/zar/claude/lean-projects/batteries/mettail-core/MeTTailCore/MeTTaSyntax/Spec.lean:54:structure SyntaxSpec,,syntax_grammar,verified,"/home/zar/claude/lean-projects/algorithms/artifacts/syntax/he.grammar_spec.json:dialect=he,tokens=7,productions=10",unknown,unknown,"Grammar represented by generic SyntaxSpec/GrammarSpec (mettail-core), not uppercase token names."
HE-0.2.10,core,core.grammar_nonterminal.expression,EXPRESSION,grammar_nonterminal,S-expression grammar,yes,yes,core-specified,implemented-mapped,/home/zar/claude/lean-projects/batteries/mettail-core/MeTTailCore/MeTTaSyntax/Spec.lean:54:structure SyntaxSpec,decl-mapped,/home/zar/claude/lean-projects/batteries/mettail-core/MeTTailCore/MeTTaSyntax/Spec.lean:54:structure SyntaxSpec,,syntax_grammar,verified,"/home/zar/claude/lean-projects/algorithms/artifacts/syntax/he.grammar_spec.json:dialect=he,tokens=7,productions=10",unknown,unknown,"Grammar represented by generic SyntaxSpec/GrammarSpec (mettail-core), not uppercase token names."
HE-0.2.10,core,core.grammar_nonterminal.grounded,GROUNDED,grammar_nonterminal,S-expression grammar,yes,yes,core-specified,implemented-mapped,/home/zar/claude/lean-projects/batteries/mettail-core/MeTTailCore/MeTTaSyntax/Spec.lean:54:structure SyntaxSpec,decl-mapped,/home/zar/claude/lean-projects/batteries/mettail-core/MeTTailCore/MeTTaSyntax/Spec.lean:54:structure SyntaxSpec,,syntax_grammar,verified,"/home/zar/claude/lean-projects/algorithms/artifacts/syntax/he.grammar_spec.json:dialect=he,tokens=7,productions=10",unknown,unknown,"Grammar represented by generic SyntaxSpec/GrammarSpec (mettail-core), not uppercase token names."
